"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"054701","Gemeente Leiderdorp/Burgerzakentaken","1","20180701","",""
"054801","Gemeente Leidschendam","1","19931201","20020101",""
"055201","Gemeente De Lier","1","19940201","20040101",""
"055301","Gemeente Lisse/Burgerzakentaken","1","20180725","",""
"055501","Gemeente Maasland","1","19940201","20040101",""
"055601","Gemeente Maassluis/Burgerzakentaken","1","20180701","",""
"055602","Gemeente Maassluis/Burgerzakentaken (2)","0","20180701","",""
"055801","Gemeente Wester-Koggenland","1","19940201","20070101",""
"055901","Gemeente Middelharnis","1","19940930","20130101",""
"056201","Gemeente Monster","1","19940930","20040101",""
"056301","Gemeente Moordrecht","1","19940901","20100101",""
"056501","Gemeente Naaldwijk","1","19940601","20040101",""
"056701","Gemeente Nieuwerkerk aan den IJssel","1","19940915","20100101",""
"056801","Gemeente Bernisse","1","19940701","20150101",""
"056901","Gemeente Nieuwkoop/Burgerzakentaken","1","20180725","",""
"057101","Gemeente Nieuw-Lekkerland","1","19940915","20130101",""
"057501","Gemeente Noordwijk/Burgerzakentaken","1","20180725","",""
"057601","Gemeente Noordwijkerhout/Burgerzakentaken","1","20180725","20190101",""
"057602","Gemeente Noordwijkerhout/Burgerzakentaken (2)","0","20180725","20190101",""
"057701","Gemeente Nootdorp","1","19930915","20020101",""
"057901","Gemeente Oegstgeest/Burgerzakentaken","1","20180701","",""
"058001","Gemeente Oostflakkee","1","19920901","20130101",""
"058401","Gemeente Oud-Beijerland/Burgerzakentaken","1","20180701","20190101",""
"058501","Gemeente Binnenmaas/Burgerzakentaken","1","20180725","20190101",""
"058801","Gemeente Korendijk/Burgerzakentaken","1","20180701","20190101",""
"058901","Gemeente Oudewater/Burgerzakentaken","1","20180701","",""
"059001","Gemeente Papendrecht/Burgerzakentaken","1","20180701","",""
"059401","Gemeente Pijnacker","1","19931115","20020101",""
"059501","Gemeente Reeuwijk","1","19930515","20110101",""
"059701","Gemeente Ridderkerk/Burgerzakentaken","1","20180701","",""
"059901","Gemeente Rotterdam/Burgerzakentaken","1","20180701","",""
"060001","Gemeente Rozenburg","1","19940201","20100318",""
"060201","Gemeente Rijnsburg","1","19940315","20060101",""
"060301","Gemeente Rijswijk/Burgerzakentaken","1","20180701","",""
"060401","Gemeente Sassenheim","1","19931115","20060101",""
"060601","Gemeente Schiedam/Burgerzakentaken","1","20180701","",""
"060701","Gemeente Schipluiden","1","19941001","20040101",""
"060801","Gemeente Schoonhoven","1","19930715","20150101",""
"061001","Gemeente Sliedrecht/Burgerzakentaken","1","20180701","",""
"061101","Gemeente Cromstrijen/Burgerzakentaken","1","20180725","20190101",""
"061201","Gemeente Spijkenisse","1","19940601","20150101",""
"061301","Gemeente Albrandswaard/Burgerzakentaken","1","20180701","",""
"061401","Gemeente Westvoorne/Burgerzakentaken","1","20180725","",""
"061701","Gemeente Strijen/Burgerzakentaken","1","20180701","20190101",""
"061901","Gemeente Valkenburg (ZH)","1","19931201","20060101",""
"062001","Gemeente Vianen/Burgerzakentaken","1","20180725","20190101",""
"062201","Gemeente Vlaardingen/Burgerzakentaken","1","20180701","",""
"062301","Gemeente Vlist","1","19931115","20150101",""
"062401","Gemeente Voorburg","1","19940315","20020101",""
